,created_at,follower_id,followers_count,following_count,repos_count,updated_at
0,2009-08-03T22:52:04Z,ligi,1162.0,753.0,334.0,2021-10-12T06:00:25Z
1,2010-12-15T20:01:30Z,bleib1dj,16.0,193.0,38.0,2021-10-26T14:26:53Z
2,2011-03-02T13:56:25Z,yalexx,11.0,105.0,36.0,2021-10-10T07:49:10Z
3,2011-03-12T23:09:05Z,PeterTheOne,123.0,239.0,220.0,2021-10-13T14:51:43Z
4,2011-04-29T14:57:44Z,shouldbai,0.0,2.0,4.0,2021-10-25T08:53:04Z
5,2011-05-08T05:30:29Z,zfogg,272.0,2189.0,94.0,2021-10-25T01:07:52Z
6,2012-01-12T16:05:15Z,mikedemarais,744.0,4905.0,59.0,2021-09-15T05:14:17Z
7,2012-04-01T20:05:09Z,briansoule,50.0,111.0,74.0,2021-09-15T01:13:53Z
8,2012-08-24T18:22:30Z,zuntah,5.0,14.0,1.0,2021-10-14T23:06:15Z
9,2013-01-20T01:17:07Z,f13end,102.0,838.0,131.0,2021-10-24T10:56:20Z
10,2013-02-09T01:18:00Z,jakedenny,3.0,31.0,6.0,2021-09-06T01:53:02Z
11,2013-02-24T16:48:12Z,cyc3w,3.0,10.0,82.0,2021-02-20T18:34:44Z
12,2013-04-18T11:54:11Z,rockfridrich,31.0,38.0,8.0,2021-09-26T08:10:33Z
13,2013-07-05T11:43:25Z,jtomanik,6.0,50.0,43.0,2021-10-23T13:02:06Z
14,2013-07-23T14:50:52Z,suriyaa,883.0,21529.0,61.0,2021-10-13T14:31:15Z
15,2014-03-28T11:41:43Z,nmrshll,133.0,1591.0,60.0,2021-09-28T11:24:20Z
16,2014-05-03T10:01:48Z,codingrana,7.0,66.0,108.0,2021-10-11T11:16:02Z
17,2014-07-08T02:47:01Z,samajammin,219.0,186.0,102.0,2021-10-26T15:41:14Z
18,2014-07-14T02:33:30Z,justinjkline,2.0,97.0,2.0,2021-09-21T21:01:24Z
19,2014-08-15T16:53:01Z,mihaipop11,3.0,2.0,9.0,2021-09-20T05:28:14Z
20,2014-09-26T20:32:23Z,rahulhsp,0.0,10.0,0.0,2021-07-31T22:52:02Z
21,2014-12-09T00:50:33Z,sbc64,50.0,340.0,101.0,2021-09-03T11:10:23Z
22,2014-12-16T17:14:59Z,galonga,7.0,26.0,21.0,2021-10-26T06:21:45Z
23,2015-05-28T12:21:06Z,Mostesare,75.0,3089.0,5.0,2021-10-13T14:38:29Z
24,2015-08-09T11:31:34Z,maxbyz,38.0,2516.0,610.0,2021-09-03T15:55:47Z
25,2015-09-23T17:01:43Z,Lisprez,976.0,66756.0,391.0,2021-10-21T13:37:23Z
26,2015-11-03T07:25:34Z,xiaoweiruby,1158.0,16189.0,860.0,2021-10-21T07:15:17Z
27,2015-11-04T17:04:33Z,sumitpatel93,28.0,266.0,17.0,2021-10-21T14:31:08Z
28,2016-03-18T10:49:20Z,ArthurBonsu,7.0,114.0,53.0,2021-05-06T12:57:10Z
29,2016-03-22T02:44:22Z,skynode,29.0,159.0,245.0,2021-10-26T19:00:26Z
